ImageName:test_1.png, Down: 522.00, Right: 227.50, Distance: 13.51
ImageName:test_2.png, Down: 536.00, Right: 475.00, Distance: 4.46
ImageName:test_3.png, Down: 453.00, Right: 319.50, Distance: 9.80
ImageName:test_4.png, Down: 419.00, Right: 300.50, Distance: 29.41
ImageName:test_5.png, Down: 601.00, Right: 346.00, Distance: 3.68
ImageName:test_5.png, Down: 452.00, Right: 263.00, Distance: 10.00
ImageName:train_10_dist20.png, Down: 418.00, Right: 490.00, Distance: 25.00
ImageName:train_12_dist8.png, Down: 498.00, Right: 429.00, Distance: 8.93
ImageName:train_13_dist6.png, Down: 491.00, Right: 427.50, Distance: 6.67
ImageName:train_14_dist16.png, Down: 548.00, Right: 327.50, Distance: 20.00
ImageName:train_15_dist3.png, Down: 483.00, Right: 422.50, Distance: 3.94
ImageName:train_16_dist24.png, Down: 470.00, Right: 439.50, Distance: 33.33
ImageName:train_17_dist8.png, Down: 500.00, Right: 342.50, Distance: 10.64
ImageName:train_18_dist5.png, Down: 562.00, Right: 234.00, Distance: 6.58
ImageName:train_19_dist15.png, Down: 411.00, Right: 427.00, Distance: 17.86
ImageName:train_1_dist30.png, Down: 431.00, Right: 313.00, Distance: 41.67
ImageName:train_20_dist8.png, Down: 495.00, Right: 180.00, Distance: 8.93
ImageName:train_21_dist10.png, Down: 394.00, Right: 317.50, Distance: 12.82
ImageName:train_22_dist7.png, Down: 349.00, Right: 481.50, Distance: 8.20
ImageName:train_24_dist12.png, Down: 435.00, Right: 323.00, Distance: 14.71
ImageName:train_25_dist19.png, Down: 416.00, Right: 125.00, Distance: 20.83
ImageName:train_25_dist19.png, Down: 406.00, Right: 143.50, Distance: 23.81
ImageName:train_26_dist30.png, Down: 424.00, Right: 481.50, Distance: 38.46
ImageName:train_27_dist30.png, Down: 417.00, Right: 97.50, Distance: 38.46
ImageName:train_29_dist5.png, Down: 566.00, Right: 313.00, Distance: 10.42
ImageName:train_2_dist10.png, Down: 449.00, Right: 163.50, Distance: 12.20
ImageName:train_2_dist10.png, Down: 447.00, Right: 360.50, Distance: 45.45
ImageName:train_2_dist10.png, Down: 472.00, Right: 157.50, Distance: 12.20
ImageName:train_31_dist10.png, Down: 612.00, Right: 298.00, Distance: 14.71
ImageName:train_4_dist5.png, Down: 316.00, Right: 165.00, Distance: 6.76
ImageName:train_5_dist25.png, Down: 398.00, Right: 133.50, Distance: 33.33
ImageName:train_6_dist10.png, Down: 452.00, Right: 279.50, Distance: 9.43
ImageName:train_6_dist10.png, Down: 481.00, Right: 534.00, Distance: 10.42
ImageName:train_6_dist10.png, Down: 617.00, Right: 109.00, Distance: 3.21
ImageName:train_6_dist10.png, Down: 640.00, Right: 268.50, Distance: 3.70
ImageName:train_6_dist10.png, Down: 679.00, Right: 13.50, Distance: 18.52
ImageName:train_6_dist10.png, Down: 800.00, Right: 155.00, Distance: 3.29
ImageName:train_7_dist10.png, Down: 585.00, Right: 455.00, Distance: 11.36
